노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('영웅 (英雄; Kick It)', 'pH-1')",4,5,0,0,0,0,0,4,0,1,4
"('품행제로', '릴보이 (lIlBOI)')",4,5,0,0,0,0,0,4,0,1,0
"('소년점프 (Feat. 배기성)', '이영지')",3,9,3,3,1,3,0,0,0,3,4
"('돌덩이', '아우릴고트 (OUREALGOAT)')",0,5,0,0,0,0,0,0,3,3,3
"('Anarchy', 'Choo')",3,6,0,0,0,5,0,1,1,3,0
"('그건 니 생각이고', 'OSUN (권오선)')",5,10,1,1,4,0,0,1,0,0,3
"('아예 (Ah Yeah)', 'GOT the beat')",0,5,1,3,0,0,3,3,0,1,0
"('거절할 거야', 'NCT 127')",6,5,4,1,0,0,2,4,3,4,0
"('Dumb Litty', '그루비룸 (GroovyRoom)')",0,5,1,1,2,0,0,4,1,2,4
"('Uh-Oh', '4minute')",0,5,2,1,0,2,0,2,0,1,0
"('So Pretty', 'CL')",1,5,1,0,0,0,0,0,0,1,1
"('Very Good (Rough Ver.)', '머쉬베놈 (MUSHVENOM)')",4,6,5,4,0,1,0,3,0,2,0
"('High Hopes', '방탄소년단')",4,6,1,1,0,1,0,4,1,0,1
"('출첵 (Feat. 나얼 For Brown Eyed Soul)', 'NCT 127')",3,5,0,0,0,1,0,0,4,0,0
"('얼음 땡 (Ice Ice) (Feat. 육지담)', '블락비 바스타즈')",1,5,2,0,0,0,0,0,0,0,0
"('HIP', '마미손')",1,5,5,1,0,0,0,2,0,5,0
"('My Number', '하현우 (국카스텐)')",0,5,0,0,0,1,0,1,5,6,1
"('사이다', 'Jvcki Wai')",0,5,1,1,0,2,0,3,0,5,0
"('Hello Bitches', '장기하와 얼굴들')",1,5,0,0,0,0,0,1,0,3,0
"('털어! (Feat. M1NU, Veinyfl, Swervy, 래원, 이영지, Lil Nekh, D.Ark)', 'EXID')",6,5,1,0,0,0,0,5,0,0,3
"('Darl+ing', '세븐틴')",3,0,5,0,0,0,0,3,0,5,0
"('MAISON', '드림캐쳐')",5,0,7,1,0,0,0,1,1,9,0
"('LA LA POP!', '하성운')",1,0,6,3,0,0,0,2,0,2,0
"('LOVE DIVE', 'IVE (아이브)')",2,0,5,1,0,0,2,2,0,0,0
"('MY BAG', '(여자)아이들')",5,0,7,1,0,0,0,2,1,4,0
"('봄이 피어나', '비투비')",2,2,7,2,0,2,0,0,1,3,0
"('D-DAY', '휘인 (Whee In)')",1,0,5,0,6,0,0,2,0,0,0
"('DICE', '온유 (ONEW)')",8,2,11,2,0,0,2,2,1,3,0
"('사랑인가 봐 (Acoustic Ver.)', '김세정')",2,1,8,1,0,1,0,2,3,4,1
"('Grey Suit', '수호 (SUHO)')",2,0,5,1,0,0,0,6,1,0,1
"('Feel My Rhythm', 'Red Velvet (레드벨벳)')",0,0,6,2,0,0,3,0,0,0,4
"('Go!', '도겸 (SEVENTEEN)')",2,0,6,1,0,0,0,4,1,1,0
"('TOMBOY', '(여자)아이들')",2,0,6,2,0,0,0,2,0,0,0
"('버퍼링 (Glitch Mode)', 'NCT DREAM')",1,0,7,0,1,12,1,1,1,2,2
"('Glitch', '권은비')",0,0,5,0,0,1,0,1,3,0,0
"('Real Love', '오마이걸 (OH MY GIRL)')",2,9,9,0,0,3,1,1,1,2,1
"('DAYDREAM', '하이라이트 (Highlight)')",3,1,7,1,0,0,0,1,0,1,0
"('INVU', '태연 (TAEYEON)')",2,1,5,1,0,0,2,4,0,0,0
"('Starlight', '태일 (TAEIL)')",0,0,5,0,0,0,0,0,0,0,0
"('예뻤어', '원필 (DAY6)')",1,0,5,0,0,0,0,5,2,1,1
"('BOP BOP!', 'VIVIZ (비비지)')",0,0,5,0,0,0,0,0,0,0,0
"('다시, 봄', '뉴이스트')",1,2,5,0,0,2,0,2,1,3,0
"('RUN2U', 'STAYC(스테이씨)')",9,4,10,1,1,4,1,8,0,0,3
"('야간비행 (Turbulence)', 'ATEEZ (에이티즈)')",4,1,10,4,0,1,0,3,0,2,0
"('VOYAGER', '기현 (몬스타엑스)')",18,0,6,2,0,1,0,0,0,0,35
"('SMILEY (Feat. BIBI)', 'YENA (최예나)')",5,0,7,1,0,4,0,2,0,2,0
"('HANA', 'XIA (준수)')",0,0,7,17,2,6,0,25,0,0,0
"('꿀 (HONEY)', '솔라 (마마무)')",21,22,8,1,1,1,0,4,0,3,0
"('WHO', '문빈&산하(ASTRO)')",3,1,6,2,0,2,0,4,1,3,2
"('Step Back', 'GOT the beat')",3,25,8,0,0,0,1,1,1,0,4
"('LO$ER=LO♡ER', '투모로우바이투게더')",1,0,6,1,1,0,0,3,0,0,0
"('BORN TO LOVE YOU', '강승윤')",1,7,9,0,0,0,0,3,0,1,0
"('MAKE U DANCE (feat. 은하 of VIVIZ)', 'ADORA')",3,3,8,1,5,3,0,0,2,1,3
"('노래 (The Song)', '비투비')",1,0,6,0,0,0,0,0,2,0,0
"('Dilemma', 'Apink (에이핑크)')",0,0,6,0,0,1,0,0,0,0,2
"('1, 2, 3', 'AB6IX (에이비식스)')",2,0,5,0,0,0,0,0,0,0,0
"('Dreams Come True', 'aespa')",2,2,5,2,0,0,0,1,0,1,1
"('Chronograph', 'VICTON (빅톤)')",17,5,11,0,0,10,0,0,1,0,0
"('놀이(Play)', '유주 (YUJU)')",0,0,8,0,0,0,0,0,1,0,3
"('안녕, 잘 가', '원필 (DAY6)')",0,0,11,1,0,2,0,0,0,6,3
"('SCIENTIST', 'TWICE (트와이스)')",0,0,5,0,0,0,0,0,0,0,0
"(""Don't Stop"", 'ATEEZ (에이티즈)')",2,0,7,0,3,1,2,2,0,2,1
"('LUNATIC', '문별 (마마무)')",0,0,5,0,0,0,0,0,0,0,0
"(""Can't Control Myself"", '태연 (TAEYEON)')",3,1,6,0,1,3,0,1,1,1,0
"('Villain', 'DRIPPIN (드리핀)')",0,2,8,3,1,1,0,6,0,2,1
"('숨 좀 쉬자', '진진&라키(ASTRO)')",1,0,8,0,3,0,0,2,0,0,3
"('ELEVEN', 'IVE (아이브)')",1,0,5,1,0,0,0,3,0,1,0
"('멋 (The Real) (흥:興 Ver.)', 'ATEEZ (에이티즈)')",7,1,6,1,0,0,0,1,5,0,0
"('오묘해', '휘인 (Whee In)')",0,0,6,0,0,0,0,0,0,0,0
"('Shark', '오마이걸 (OH MY GIRL)')",11,3,6,2,2,10,1,1,1,2,1
"('Alive', '캐스커')",1,0,0,5,1,0,0,1,0,0,1
"('Save me', 'leeSA (리싸)')",6,1,0,5,0,0,1,1,0,1,1
"('소나기', '우효')",1,0,2,5,0,0,1,2,0,0,1
