,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
148,그렇습니까,흐른,5,0,0,5,0,0,0,0,0,0,0
149,Moonlight,이바다,2,0,1,6,0,0,0,0,0,0,0
150,Kiss or Kill,가인,4,0,1,8,0,0,0,0,0,0,0
151,천 개의 태양,캐스커,0,0,0,5,0,0,0,3,0,0,1
152,Butterfly,최정인,0,0,0,5,0,0,0,0,0,0,0
153,I Can't Never Stop,이바다,1,0,2,5,3,0,0,3,0,0,0
154,멈춰버린 밤 (Still Ist Die Nacht),엘리케이 (Elli K),2,1,2,5,0,0,0,2,0,1,0
155,별빛속으로 (Feat. 박지윤),김C,0,2,1,5,0,0,0,3,1,1,3
156,Theme Intro,방준석,4,0,4,5,0,1,0,14,0,9,0
157,잡아줘,이바다,1,0,1,5,1,0,1,1,0,0,0
158,빨간구두,정중한,0,0,0,5,0,0,0,0,0,0,0
159,Curse of Girl,박정현,0,0,0,5,0,0,0,0,0,0,0
160,나비,혜림,2,0,2,5,2,0,0,2,0,0,0
161,유리,김윤아,14,1,2,6,0,1,0,1,0,2,0
162,Kim Ju Young,박정은,1,1,4,6,0,1,0,1,0,3,4
163,길,김윤아,2,0,0,5,0,0,0,0,0,2,0
164,Theme Tango Bandoneon Final,방준석,0,0,1,5,0,0,0,1,0,5,1
165,그림자,진실,0,0,0,5,1,0,0,1,1,3,4
166,I Am,잉키,1,0,0,5,0,0,0,1,0,2,0
167,주어진 단서,정중한,1,1,4,7,0,1,0,1,0,1,1
168,I Can't Get You Off My Mind,Miss Li,0,0,0,5,0,0,0,0,0,0,0
169,Chase,난아진,5,0,0,5,0,0,0,0,0,1,0
170,자각몽 (Feat. 올티),김윤아,1,0,1,5,0,0,2,2,0,4,6
171,Endless Night,"김태성, 최정인",0,0,0,5,0,0,0,0,0,0,0
172,세상 밖으로,잉키,3,1,1,6,0,0,0,0,1,1,6
173,City Of Time (Feat. 영지),마리오,0,0,0,5,0,0,0,0,0,0,0
174,It Could Be You (Feat. 일레인),정중한,3,1,3,6,0,1,0,1,0,7,2
175,Dear,Mad Soul Child,4,1,0,6,0,0,0,1,0,3,1
176,DAYS and MOONS,Elsa Kopf,0,0,0,5,0,0,1,1,0,0,0
177,Rush,에브리 싱글 데이,7,0,2,5,0,0,0,0,0,3,0
178,떠나야 할 그 사람,잉키,0,0,1,5,0,0,0,0,0,4,1
179,시린꽃 (Original Ver.),Booth,3,0,0,5,0,2,0,1,0,1,0
180,Was Justice Delivered,노형우,1,0,1,5,0,0,0,1,1,0,4
181,아무도 믿지 말 것,정중한,0,0,3,5,0,0,0,0,0,0,0
182,STAY,Steelheart,9,3,0,6,1,2,1,3,3,3,1
183,eclipse (이클립스),Patrick Joseph,4,0,4,5,0,0,0,2,0,0,2
184,This Is The Beginning,Marco Beltrami,4,0,12,5,0,0,0,1,0,6,1
185,Superbad (11:34),Travie McCoy,7,0,4,6,0,1,0,0,0,0,0
186,비극 3 (진실),Various Artists,2,1,1,6,0,1,0,0,0,1,0
187,돌이킬 수 없는 걸음,이병우,3,0,3,5,0,0,0,1,1,0,0
188,어느 날 (Duet With 김윤아),이적,1,0,0,0,5,1,0,0,0,1,1
189,Ovum,레이니 썬,3,0,0,0,5,0,1,1,0,2,1
190,이상한 얘기 (Daytripper),하키,0,0,0,0,5,0,0,4,0,4,1
191,New 욕,자우림,1,1,16,0,6,0,0,0,4,0,10
192,우린 결국 그렇게 (Feat. Seori),기리보이,0,0,3,1,5,0,1,3,0,3,2
193,버려진 것들,스웨덴세탁소,1,0,0,1,5,0,0,2,0,1,0
194,길 잃은 강아지,아이유,2,0,2,0,5,0,1,2,1,0,0
195,전 여자친구에게 (Feat. 선우정아),San E,0,0,1,0,5,0,0,2,0,1,0
196,행복합니다 (Feat. 김종완 Of Nell),에픽하이 (EPIK HIGH),0,0,0,0,5,0,0,0,1,1,0
197,요단강,네스티요나,1,1,2,1,7,1,0,8,1,3,2
198,Plastic Flower (상사병),박정현,0,0,0,1,5,0,0,1,0,0,0
199,탈진,황보령,1,0,1,0,5,0,1,0,0,0,1
200,잔혹동화,아이유,0,1,1,5,5,0,0,8,1,0,0
201,괴물,PPCX (피터팬컴플렉스),0,0,0,0,5,0,0,4,0,0,1
202,늪,조관우,0,0,0,0,5,0,0,10,0,3,0
203,암실,쏜애플 (THORNAPPLE),0,0,0,1,5,0,0,6,1,3,4
204,뱀,키치레코드,3,1,4,4,5,1,0,0,0,2,0
205,Act 5,넬 (NELL),2,0,2,0,5,0,0,0,0,0,1
206,교실이데아,서태지,3,0,1,0,5,0,1,0,0,6,0
207,령혼,양파,4,0,0,1,5,0,0,1,1,3,0
208,오르골 (Orgel),SHINee (샤이니),0,0,0,0,5,0,0,3,0,3,3
209,새,자우림,0,0,6,0,8,1,0,0,0,2,0
210,Paradise Lost,가인,1,1,2,0,5,0,2,3,0,3,0
211,하비샴의 왈츠 (Miss Havishams Waltz),박정현,0,0,0,4,5,0,0,11,0,2,0
212,Dracula,f(x),1,0,1,0,5,0,0,1,0,3,0
213,미친거니 (Feat. 방용국),송지은,3,0,0,0,5,0,0,3,0,0,0
214,낙화(落花),자우림,2,1,0,0,5,0,0,3,1,2,2
215,피해망상 Pt. 1 (Feat. Junggigo),에픽하이 (EPIK HIGH),0,0,0,0,5,0,0,0,0,1,1
216,음탕한 계집,정차식,1,0,1,1,6,0,0,0,0,1,1
217,저주인형,VIXX (빅스),1,0,0,0,5,0,0,2,3,0,2
218,미궁,황병기,0,0,0,0,5,0,0,0,0,1,0
219,The Movement II,CB Mass,1,0,1,0,0,6,0,3,1,5,2
220,이력서,다이나믹 듀오,0,0,1,1,0,8,0,1,3,3,0
221,형이 들려주는 이야기 (더러운 힙합씬) (Feat.Koonta),데프콘,2,0,5,2,0,5,0,1,0,3,0
222,K.O.,"Hiphopmind, 레드 페이스, 나쑈, 3rd Rhymer",0,0,2,3,0,5,0,1,0,12,1
223,Do What I Do,버벌진트,2,0,3,0,0,5,0,2,0,2,2
224,진표생각2 - 랩퍼라면...Etc,김진표,5,0,5,1,0,5,0,9,1,9,7
225,진표생각 1,김진표,9,0,1,0,0,5,0,3,0,0,0
226,Throw Your Hands Up (너의 기준),유승준,6,0,1,0,0,5,1,1,0,9,1
227,Hip Hop,거리의 시인들,0,0,0,0,0,5,0,1,0,6,2
228,You,TBNY,3,3,5,3,5,5,0,8,0,6,1
229,나쁜X (BAD YEAR),San E,2,0,2,0,2,5,0,2,2,1,4
230,앰뷸런스,수퍼비 (SUPERBEE),4,0,1,2,0,5,3,1,0,0,1
231,100 (Feat. 천재노창),블랙넛 (Black Nut),1,2,1,0,3,9,0,1,0,7,0
232,Higher Than E-Sens,블랙넛 (Black Nut),2,3,1,0,3,5,0,4,0,9,2
233,빈지노,블랙넛 (Black Nut),0,0,1,0,2,5,0,7,0,15,2
234,배치기,블랙넛 (Black Nut),1,0,4,0,1,5,0,3,0,8,1
235,What!!,윤희중,5,0,4,0,0,5,1,17,0,4,4
236,"차렷! (Feat. 다이나믹 듀오, Tablo)",TBNY,3,0,2,4,0,5,0,10,0,4,2
237,In the whale,온유 (ONEW),0,0,0,0,0,0,5,3,0,1,6
238,"시계초침 (Feat. BRWN, Huiii)",SUDI,1,0,0,0,0,0,5,1,0,7,0
239,So Long (Feat. I'll),THAMA,0,0,0,0,0,0,5,0,0,0,0
240,흔적기관 (痕跡器管),"김뮤지엄 (KIMMUSEUM), JEMN",2,0,2,0,1,0,5,0,0,0,0
241,친구 사이,DOKO (도코),0,0,0,0,0,0,5,0,0,0,0
242,PILLOW,Wynn (윈),6,1,2,1,1,0,5,3,2,5,1
243,Love Phobia,온유 (ONEW),1,0,1,0,0,0,5,0,0,0,0
244,그걸로도 충분해요 (Feat. 수안),San E,1,0,0,2,0,0,5,0,0,3,0
245,Yesterday,초아,7,3,6,3,9,5,5,0,1,8,2
246,MDA,hamzzi,4,0,0,1,0,2,5,5,0,2,0
247,home alone type.,Mood.,1,0,0,0,0,0,5,0,0,0,2
248,Answer,homezone,9,0,1,0,2,2,5,4,2,5,3
249,북극성 (Never Goodbye),NCT DREAM,11,0,0,0,0,0,5,6,0,0,0
250,잊을 수 없어,9001 (Ninety O One),1,0,1,0,0,0,5,0,0,2,0
251,Ending,싸비 (XAVII),0,1,2,1,2,0,5,0,0,0,1
252,Yellow (Feat.런치),주시크 (Joosiq),5,0,0,1,0,0,5,3,0,2,2
253,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),2,1,0,0,1,0,5,0,0,0,2
254,끊기 싫어 버티는 네가 좋아,WEN,2,1,0,0,1,0,5,6,1,2,2
255,각자의 취향 (Feat. Paloalto),Milena (밀레나),0,0,0,0,0,0,5,3,0,0,1
256,Someday (Feat. SOLE) (Prod. Padi),선재 (snzae),0,0,5,0,0,0,5,6,0,0,0
257,right here,keshi,3,0,0,0,1,0,5,0,0,3,3
258,HEY,THAMA,3,0,1,0,0,0,5,0,0,2,1
