노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
T-KT,Sawano Hiroyuki,2,0,3,0,0,0,0,2,5,2,2
Empty,카더가든,5,0,5,1,0,0,0,9,6,9,7
슬픈 끝맺음,"남혜승, 박상희",9,0,1,0,0,0,0,3,5,0,0
Don't Bring Me Down,일레인,6,0,1,0,0,0,1,1,5,9,1
Castle,Halsey,0,0,0,0,0,0,0,1,5,6,2
Lullaby,너드커넥션 (Nerd Connection),3,3,5,3,5,0,0,8,5,6,1
빨간 하늘,임승범,2,0,2,0,2,0,0,2,7,1,4
The Love,호피폴라,4,0,1,2,0,0,3,1,5,0,1
Somewhere,오존 (O3ohn),1,2,1,0,3,4,0,1,5,7,0
Set Me Free,가인,2,3,1,0,3,0,0,4,5,9,2
IDK,MOSSS,0,0,1,0,2,0,0,7,5,15,2
Lost Time,"개미, 박정환",1,0,4,0,1,0,0,3,5,8,1
RescuE,윤하 (YOUNHA),5,0,4,0,0,0,1,17,5,4,4
Michael's Sword,오혜주,3,0,2,4,0,0,0,10,5,4,2
LUCA,젬마(JEMMA),0,0,0,0,0,0,0,0,11,7,4
The First Day,락다이아몬드,0,0,6,1,1,0,0,3,5,7,1
Body Talk,Red Velvet (레드벨벳),0,0,3,4,0,0,0,0,5,0,0
We all lie (Slow Ver.),하진 (HAJIN),3,0,3,0,0,1,0,3,6,1,4
Dark Sun,개미,2,0,3,0,0,0,0,3,6,3,0
Call of Silence,Sawano Hiroyuki [nZk],3,0,0,0,0,0,0,0,5,3,0
슬픈 행진 (Sad March),일레인,1,0,0,0,0,0,0,2,5,0,1
전쟁터 (with 이선희),AKMU (악뮤),1,0,9,0,1,0,0,1,6,0,4
Through Time,"김동혁, 이한범",2,0,0,0,0,0,0,0,5,10,3
Lost,윤미래,2,0,0,0,0,0,2,0,6,9,4
Kingdom Come,Red Velvet (레드벨벳),2,1,2,2,0,0,1,1,5,2,1
Timeless,비비 (BIBI),0,0,0,0,0,0,0,1,5,3,5
Control,Halsey,1,0,0,0,2,0,0,2,5,1,0
잘 알지도 못하면서,김예림 (Lim Kim),1,0,0,5,0,0,0,4,6,0,7
Pandora,락다이아몬드,0,0,0,0,0,0,0,0,5,0,0
자각몽 (Lucid Dream),"Asteria, Sondia",1,0,1,0,1,0,0,1,5,0,0
다시 웃을 수 있을까,김민승,0,0,0,0,0,0,0,0,5,0,0
불꽃,초아,0,0,0,0,0,0,0,0,5,0,0
시간,가호 (Gaho),0,0,0,0,0,0,0,0,5,0,0
Lost Family,"하근영, 조은정",0,0,0,0,0,0,0,0,5,0,0
자각몽,모노그램,0,0,0,0,0,0,0,0,5,0,0
목소리,김연지,0,0,0,0,0,0,0,0,5,0,0
Pray,클랑 (KLANG),0,0,0,0,0,0,0,0,5,0,0
"괴물, 누구인가","하근영, 김예솔",0,0,0,0,0,0,0,0,5,0,0
Poker Face,김유안,0,0,0,0,0,0,0,0,5,0,0
낮은 목소리,JAMIE (제이미),0,0,0,0,0,1,1,0,5,0,0
봄눈,펜타곤,0,0,0,0,0,0,0,0,0,5,0
첫 데이트,스윗소로우 (SWEET SORROW),1,0,0,1,1,0,0,1,0,5,1
벚꽃 엔딩,버스커 버스커,0,0,0,0,0,0,0,0,0,5,0
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",0,0,0,0,0,0,0,0,0,5,0
우연히 봄,"로꼬, 유주 (YUJU)",0,0,0,0,0,0,0,0,0,5,0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트,0,0,0,0,0,0,0,0,0,5,0
봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",0,0,0,0,0,0,0,0,0,5,0
"One More Time, One More Chance (초속5센티미터 OST 2007)",Various Artists,0,0,0,0,0,0,0,0,0,5,0
봄바람 (Feat. 나얼),이문세,11,0,1,1,0,0,1,0,0,6,0
너는 나의 봄이다,성시경,0,0,0,0,0,0,0,0,0,5,0
Love Blossom (러브블러썸),케이윌,0,0,0,0,0,0,0,0,0,5,0
봄 타나봐 (BOMTANABA),서인국,0,0,0,0,0,0,0,0,0,5,0
너에게만 반응해 (Feat. 이소은),이승환,0,0,0,0,0,0,0,0,0,5,0
두근두근,써니힐,0,0,0,0,0,0,0,1,0,7,1
벚꽃이 내린다,소란 (SORAN),0,0,0,0,0,0,0,0,0,5,0
봄날의 기억,비투비,3,0,0,0,0,0,0,1,4,5,0
봄이 오면 (Piano ver.),김윤아,2,0,1,1,1,0,0,2,0,9,2
벚꽃이 지면,아이오아이 (I.O.I),1,0,2,0,0,0,0,1,0,6,1
장난 아닌데,DAY6 (데이식스),0,0,0,0,0,0,0,0,0,5,0
봄이 좋냐??,10CM,4,2,1,1,3,0,0,0,0,6,1
Sunshine,짙은,0,0,0,0,0,0,0,0,0,5,0
봄날에 만나자 (Acoustic Ver.),한올,2,0,3,0,0,0,0,0,0,5,4
Dream All Day,김지수,3,0,1,2,0,2,0,2,1,11,4
봄날,정엽,10,1,0,0,3,1,0,1,1,15,2
꽃송이가,버스커 버스커,2,0,1,0,1,0,0,0,1,7,1
어느 봄날,2am,0,0,0,0,0,0,0,0,0,5,0
파란 봄,에일리(Ailee),2,0,0,0,0,0,0,0,2,6,0
꽃길 (With ZISU),새봄 (saevom),0,0,0,0,0,0,0,1,0,5,0
"나만, 봄",볼빨간사춘기,0,0,0,0,0,0,0,0,0,5,0
봄처녀,선우정아,0,0,0,0,0,0,0,0,0,5,0
너를 담아 봄 (Feat. 스무살),바닐라 어쿠스틱,3,2,2,4,1,2,0,2,0,8,1
"다시, 봄",정승환,4,0,0,2,0,0,0,0,1,6,5
Can't Stop,CNBLUE (씨엔블루),3,2,2,3,2,5,0,4,0,8,13
왔나봄,Ways (웨이즈),1,3,7,1,5,1,1,6,3,8,1
춘곤 (春困),윤현상,7,1,3,1,0,3,0,3,0,6,0
Chocolate,DAY6 (데이식스),0,0,0,0,0,0,0,0,0,5,0
꽃처럼 한 철만 사랑해 줄 건가요? (Sakura Moment),"심규선 (Lucia), 에피톤 프로젝트",2,1,8,2,0,1,0,3,0,5,1
봄이라서 발매함,오브로젝트,2,1,0,0,0,0,1,2,0,5,1
나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,0,26,3,0,0,0,0,1,1,7,1
들었다 놨다 (Love Actually),"써니힐, 데이브레이크 (DAYBREAK)",0,1,3,0,0,0,0,6,0,5,1
벚꽃이 핀다고 날 찾지 말아요,"김댕, 팝콘",3,3,24,0,0,9,0,6,0,23,9
너의 꽃말,심규선 (Lucia),6,3,1,1,1,3,1,1,6,7,1
손 닿으면,장범준,15,14,6,1,1,3,2,0,0,5,1
날씨도 좋은데 (With 임동현),타코앤제이형,2,0,1,1,1,1,0,3,2,6,0
우리의 봄날은 지나갔지만,유지희 (Yujihi),1,0,4,0,1,0,0,4,0,5,2
"사랑, 하자",수호 (SUHO),2,2,2,3,0,2,0,10,1,9,1
봄타,마마무 (Mamamoo),0,0,1,0,0,0,0,4,0,8,0
그대는 봄인가 (Feat. 은종),윤선하,1,2,4,1,0,1,0,2,0,7,1
3월 같은 너,존박,4,5,3,1,0,6,0,6,1,6,7
봄 (feat. 산다라박),박봄 (Park Bom),0,4,13,0,0,7,1,4,2,5,4
사실 난,디어클라우드,4,0,3,1,0,0,0,0,0,0,5
청춘 (Feat. 김창완),김필,2,0,7,0,0,1,0,0,0,0,8
클로즈,못 (Mot),3,0,0,3,0,2,0,0,3,0,5
내가 사랑한 모든 것들은 나를 눈물짓게 할 테니까,모브닝 (MOVNING),8,0,1,1,0,0,1,1,4,9,5
어느 새(디깅클럽서울 Ver.),백예린 (Yerin Baek),3,0,2,0,0,1,0,4,0,2,6
Away,"Collective Arts (콜렉티브아츠), 김현창",1,0,0,0,0,0,0,0,0,0,6
그런 밤,어반자카파,13,0,0,0,0,0,1,0,0,0,5
행복해 보이는 사람처럼,빌리어코스티,4,0,0,1,0,0,0,0,1,2,5
어른,이섭,3,0,0,2,0,0,0,0,3,0,6
꽃 (Prod. 로코베리),윤미래,2,0,2,0,0,0,0,0,0,0,5
놓아줘 (Let Me Out),종현 (JONGHYUN),7,0,0,0,0,0,1,0,3,0,6
I Am Blue,1415,1,0,1,0,0,0,0,0,0,2,5
솔직히 지친다,청하,11,0,1,0,1,1,0,4,0,0,5
나,박원,3,0,3,2,3,0,0,1,0,2,5
Balloon,지코 (ZICO),4,0,0,1,0,2,0,0,0,0,7
살얼음,브로콜리너마저,4,0,3,1,0,0,4,0,0,0,5
나란놈,적재,3,0,1,0,0,0,0,2,0,0,5
낙엽의 비,넬 (NELL),4,0,0,0,3,2,0,0,1,0,5
답을 찾지 못한 날,윤하 (YOUNHA),3,0,0,0,0,0,0,0,0,0,5
청춘,하비누아주,5,1,1,0,3,0,0,0,0,0,5
HELP,10CM,1,0,1,1,1,0,1,0,0,1,5
헛되었어,못 (Mot),12,0,0,0,0,2,1,1,0,0,9
바람이 분다,이소라,8,0,1,0,0,0,0,0,0,1,11
청춘,뜨거운 감자,7,0,0,0,0,0,0,5,0,0,11
삐뚤어졌어 (Remastered Ver.),선우정아,0,0,0,0,0,1,0,2,1,2,6
주변인,노리플라이 (no reply),1,0,1,0,0,0,0,2,6,2,5
Kalt (Feat. JOONIE),오존 (O3ohn),1,0,0,0,0,0,0,1,0,1,5
가만히 두세요.,김윤아,0,0,2,0,0,1,0,1,0,0,5
오늘,오왠 (O.WHEN),5,0,0,0,0,0,0,0,1,0,5
불과 얼음 (feat. 예솔),스컬,27,0,3,0,0,8,9,2,7,1,9
잊을만하면,달콤한 소금,2,0,0,2,0,0,1,0,2,0,5
어른,Sondia,4,0,1,0,0,0,0,1,1,2,6
집이없어 (Feat. Dorothy),아인 (AIN),1,0,2,0,0,0,0,0,0,1,5
산하엽 (Diphylleia grayi),종현 (JONGHYUN),6,1,0,0,0,1,0,0,0,1,7
물고기자리,9와 숫자들,5,1,0,0,0,0,0,0,0,1,5
USELESS,정준일,2,1,3,0,0,0,0,0,1,0,5
머리가 자란다,데이브레이크 (DAYBREAK),10,0,1,1,0,0,1,1,0,1,5
후회,곽진언,3,0,1,0,0,0,2,2,0,3,7
비행운,문문 (MoonMoon),3,2,1,0,0,0,0,0,0,1,8
불안은 영혼을 잠식한다.,김윤아,0,0,0,0,2,0,0,0,0,0,5
우울,어반자카파,7,0,0,0,0,0,1,0,0,0,5
날개,못 (Mot),2,0,0,1,0,0,0,2,1,0,6
Don't Break Your Heart,사비나앤드론즈,5,0,0,0,0,0,0,1,1,0,5
파탈리테,심규선 (Lucia),0,0,2,0,0,0,0,3,0,3,8
겨울로 가기 위해 사는 밤 (Feat. 황득경 Of 노티스노트),안녕의 온도,2,0,1,0,0,0,2,1,0,0,5
Faded,Alan Walker,0,0,0,0,0,0,0,0,0,0,5
혼자라는 느낌,이상은 (=Lee-tzsche),5,0,0,2,0,1,0,4,0,2,7
재와 연기의 노래,못 (Mot),4,0,2,0,0,0,0,0,4,0,7
Scenery,Ashmute (애쉬뮤트),10,0,0,0,0,0,0,0,0,0,5
엘리베이터 (Elevator),종현 (JONGHYUN),1,0,0,0,0,1,0,0,0,0,5
