노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('털어! (Feat. M1NU, Veinyfl, Swervy, 래원, 이영지, Lil Nekh, D.Ark)', 'EXID')",,5,,,,,,,,,
"('Darl+ing', '세븐틴')",,,5,,,,,,,,
"('MAISON', '드림캐쳐')",,,5,,,,,,,,
"('LA LA POP!', '하성운')",,,5,,,,,,,,
"('LOVE DIVE', 'IVE (아이브)')",,,5,,,,,,,,
"('MY BAG', '(여자)아이들')",,,5,,,,,,,,
"('봄이 피어나', '비투비')",,,5,,,,,,,,
"('D-DAY', '휘인 (Whee In)')",,,5,,,,,,,,
"('DICE', '온유 (ONEW)')",,,5,,,,,,,,
"('사랑인가 봐 (Acoustic Ver.)', '김세정')",,,5,,,,,,,,
"('Grey Suit', '수호 (SUHO)')",,,5,,,,,,,,
"('Feel My Rhythm', 'Red Velvet (레드벨벳)')",,,5,,,,,,,,
"('Go!', '도겸 (SEVENTEEN)')",,,5,,,,,,,,
"('TOMBOY', '(여자)아이들')",,,5,,,,,,,,
"('버퍼링 (Glitch Mode)', 'NCT DREAM')",,,5,,,,,,,,
"('Glitch', '권은비')",,,5,,,,,,,,
"('Real Love', '오마이걸 (OH MY GIRL)')",,,5,,,,,,,,
"('DAYDREAM', '하이라이트 (Highlight)')",,,5,,,,,,,,
"('INVU', '태연 (TAEYEON)')",,,5,,,,,,,,
"('Starlight', '태일 (TAEIL)')",,,5,,,,,,,,
"('예뻤어', '원필 (DAY6)')",,,5,,,,,,,,
"('BOP BOP!', 'VIVIZ (비비지)')",,,5,,,,,,,,
"('다시, 봄', '뉴이스트')",,,5,,,,,,,,
"('RUN2U', 'STAYC(스테이씨)')",,,5,,,,,,,,
"('야간비행 (Turbulence)', 'ATEEZ (에이티즈)')",,,5,,,,,,,,
"('VOYAGER', '기현 (몬스타엑스)')",,,5,,,,,,,,
"('SMILEY (Feat. BIBI)', 'YENA (최예나)')",,,5,,,,,,,,
"('HANA', 'XIA (준수)')",,,5,,,,,,,,
"('꿀 (HONEY)', '솔라 (마마무)')",,,5,,,,,,,,
"('WHO', '문빈&산하(ASTRO)')",,,5,,,,,,,,
"('Step Back', 'GOT the beat')",,,5,,,,,,,,
"('LO$ER=LO♡ER', '투모로우바이투게더')",,,5,,,,,,,,
"('BORN TO LOVE YOU', '강승윤')",,,5,,,,,,,,
"('MAKE U DANCE (feat. 은하 of VIVIZ)', 'ADORA')",,,5,,,,,,,,
"('노래 (The Song)', '비투비')",,,5,,,,,,,,
"('Dilemma', 'Apink (에이핑크)')",,,5,,,,,,,,
"('1, 2, 3', 'AB6IX (에이비식스)')",,,5,,,,,,,,
"('Dreams Come True', 'aespa')",,,5,,,,,,,,
"('Chronograph', 'VICTON (빅톤)')",,,5,,,,,,,,
"('놀이(Play)', '유주 (YUJU)')",,,5,,,,,,,,
"('안녕, 잘 가', '원필 (DAY6)')",,,5,,,,,,,,
"('SCIENTIST', 'TWICE (트와이스)')",,,5,,,,,,,,
"(""Don't Stop"", 'ATEEZ (에이티즈)')",,,5,,,,,,,,
"('LUNATIC', '문별 (마마무)')",,,5,,,,,,,,
"(""Can't Control Myself"", '태연 (TAEYEON)')",,,5,,,,,,,,
"('Villain', 'DRIPPIN (드리핀)')",,,5,,,,,,,,
"('숨 좀 쉬자', '진진&라키(ASTRO)')",,,5,,,,,,,,
"('ELEVEN', 'IVE (아이브)')",,,5,,,,,,,,
"('멋 (The Real) (흥:興 Ver.)', 'ATEEZ (에이티즈)')",,,5,,,,,,,,
"('오묘해', '휘인 (Whee In)')",,,5,,,,,,,,
"('Shark', '오마이걸 (OH MY GIRL)')",,,5,,,,,,,,
"('Alive', '캐스커')",,,,5,,,,,,,
"('Save me', 'leeSA (리싸)')",,,,5,,,,,,,
"('소나기', '우효')",,,,5,,,,,,,
"('(Bonus) What Are You Seeing? (Performance in film)', '선우정아')",,,,5,,,,,,,
"('Teardrop', 'Massive Attack')",,,,5,,,,,,,
"('안개', '보아 (BoA)')",,,,5,,,,,,,
"('Nobody Knows', '김윤아')",,,,5,,,,,,,
"('꽃이 지다  (Feat. 조원선)', '정재형')",,,,5,,,,,,,
"('목소리', '김윤아')",,,,5,,,,,,,
"('숨결', 'Mad Soul Child')",,,,5,,,,,,,
"('그렇습니까', '흐른')",,,,5,,,,,,,
"('Moonlight', '이바다')",,,,5,,,,,,,
"('Kiss or Kill', '가인')",,,,5,,,,,,,
"('천 개의 태양', '캐스커')",,,,5,,,,,,,
"('Butterfly', '최정인')",,,,5,,,,,,,
"(""I Can't Never Stop"", '이바다')",,,,5,,,,,,,
"('멈춰버린 밤 (Still Ist Die Nacht)', '엘리케이 (Elli K)')",,,,5,,,,,,,
"('별빛속으로 (Feat. 박지윤)', '김C')",,,,5,,,,,,,
"('Theme Intro', '방준석')",,,,5,,,,,,,
"('잡아줘', '이바다')",,,,5,,,,,,,
"('빨간구두', '정중한')",,,,5,,,,,,,
"('Curse of Girl', '박정현')",,,,5,,,,,,,
"('나비', '혜림')",,,,5,,,,,,,
"('유리', '김윤아')",,,,5,,,,,,,
"('Kim Ju Young', '박정은')",,,,5,,,,,,,
"('길', '김윤아')",,,,5,,,,,,,
"('Theme Tango Bandoneon Final', '방준석')",,,,5,,,,,,,
"('그림자', '진실')",,,,5,,,,,,,
"('I Am', '잉키')",,,,5,,,,,,,
"('주어진 단서', '정중한')",,,,5,,,,,,,
"(""I Can't Get You Off My Mind"", 'Miss Li')",,,,5,,,,,,,
"('Chase', '난아진')",,,,5,,,,,,,
"('자각몽 (Feat. 올티)', '김윤아')",,,,5,,,,,,,
"('Endless Night', '김태성')",,,,5,,,,,,,
"('세상 밖으로', '최정인')",,,,5,,,,,,,
"('City Of Time (Feat. 영지)', '잉키')",,,,5,,,,,,,
"('It Could Be You (Feat. 일레인)', '마리오')",,,,5,,,,,,,
"('Dear', '정중한')",,,,5,,,,,,,
"('DAYS and MOONS', 'Mad Soul Child')",,,,5,,,,,,,
"('Rush', 'Elsa Kopf')",,,,5,,,,,,,
"('떠나야 할 그 사람', '에브리 싱글 데이')",,,,5,,,,,,,
"('시린꽃 (Original Ver.)', '잉키')",,,,5,,,,,,,
"('Was Justice Delivered', 'Booth')",,,,5,,,,,,,
"('아무도 믿지 말 것', '노형우')",,,,5,,,,,,,
"('STAY', '정중한')",,,,5,,,,,,,
"('eclipse (이클립스)', 'Steelheart')",,,,5,,,,,,,
"('This Is The Beginning', 'Patrick Joseph')",,,,5,,,,,,,
"('Superbad (11:34)', 'Marco Beltrami')",,,,5,,,,,,,
"('비극 3 (진실)', 'Travie McCoy')",,,,5,,,,,,,
"('돌이킬 수 없는 걸음', '이병우')",,,,5,,,,,,,
"('어느 날 (Duet With 김윤아)', '이적')",,,,,5,,,,,,
"('Ovum', '레이니 썬')",,,,,5,,,,,,
