,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
82,Yesterday,선명 (先命),1,,,,,,,,,,
83,받는 사랑이 주는 사랑에게,다비치,1,,,,,,,,,,
84,가을밤 떠난 너,케이시 (Kassy),1,,,,,,,,,,
85,숫자,이적,1,,,,,,,,,,
86,안녕,폴킴,1,,,,,,,,,,
87,기억해줘요 내 모든 날과 그때를,거미,1,,,,,,,,,,
88,슬픈가요,바이브,1,,,,,,,,,,
89,비가 내리는 날에는,윤하 (YOUNHA),1,,,,,,,,,,
90,The Other,Lauv,1,,,,,,,,,,
91,솔직하게 말해서 나,김나영,1,,,,,,,,,,
92,Easily,Bruno Major,1,,,,,,,,,,
93,시든 꽃에 물을 주듯,HYNN (박혜원),1,,,,,,,,,,
94,Never Not,Lauv,1,,,,,,,,,,
95,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,1,,,,,,,,,,
96,Surrender (Feat. 린),챈슬러,1,,,,,,,,,,
97,그런 날 (Feat. 김호연 of 달 좋은 밤),크래커 (CRACKER),1,,,,,,,,,,
98,℃ (도시) (prod.Noden),Lay.bn,1,,,,,,,,,,
99,Chasing Fire (Stripped - Live in London),Lauv,1,,,,,,,,,,
100,Slow,SOLE (쏠),1,,,,,,,,,,
101,Autumn Breeze (Feat. Rachel Lim),JIDA (지다),1,,,,,,,,,,
102,니 소식,송하예,1,,,,,,,,,,
103,넌 어때 (Feat. Donutman),이아람,1,,,,,,,,,,
104,하염없이 (Feat. 정동원),"T.P RETRO (타디스 프로젝트舊), 학선",1,,,,,,,,,,
105,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
106,웃으며,"임재현, 문성욱",1,,,,,,,,,,
107,탓 (Feat. 창모),버나드 박,1,,,,,,,,,,
108,Nervous (Acoustic),Gavin James,1,,,,,,,,,,
109,그대가 살아서,정동원,1,,,,,,,,,,
110,사랑에 연습이 있었다면 (Prod. 2soo),임재현,1,,,,,,,,,,
111,그러니까 (Feat. Colde),헤이즈 (Heize),1,,,,,,,,,,
112,오랜 날 오랜 밤,AKMU (악뮤),1,,,,,,,,,,
113,U R,태연 (TAEYEON),1,,,,,,,,,,
114,꽃이 핀다,케이윌,1,,,,,,,,,,
115,아니길 (Hope Not),BLACKPINK,1,,,,,,,,,,
116,어떻게 생각해,CHEEZE (치즈),1,,,,,,,,,,
117,사랑이 운다,케이윌,1,,,,,,,,,,
118,Blue,태연 (TAEYEON),1,,,,,,,,,,
119,Liability,Lorde,1,,,,,,,,,,
120,너도 그냥 날 놓아주면 돼,윤건,1,,,,,,,,,,
121,Happier,Ed Sheeran,1,,,,,,,,,,
122,화장을 하고,"김연지, 이보람 (씨야)",1,,,,,,,,,,
123,그때가 좋았어,케이시 (Kassy),1,,,,,,,,,,
124,누군가를 떠나 보낸다는 건,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
125,눈사람,정승환,1,,,,,,,,,,
126,비의 노래,"김연지, 이보람 (씨야)",1,,,,,,,,,,
127,Cosmos,허각,1,,,,,,,,,,
128,그 길에,임한별,1,,,,,,,,,,
129,Is You,에일리(Ailee),1,,,,,,,,,,
130,마음아 미안해,백아연,1,,,,,,,,,,
131,뜻대로,어반자카파,1,,,,,,,,,,
132,갈 수가 없어,벤,1,,,,,,,,,,
133,애쓰지 마요,박보람,1,,,,,,,,,,
134,좀 더 잘래요,김그림,1,,,,,,,,,,
135,흔한 이별,허각,1,,,,,,,,,,
136,Goodbye,웬디 (WENDY),1,,,,,,,,,,
137,두 가지 일,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
138,내 생에 아름다운,케이윌,1,,,,,,,,,,
139,I'll Never Love Again (Extended Version),Lady Gaga,1,,,,,,,,,,
140,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,1,,,,,,,,,,
141,벚꽃연가,첸 (CHEN),1,,,,,,,,,,
142,꿈처럼 내린,다비치,1,,,,,,,,,,
143,고백,양다일,1,,,,,,,,,,
144,추억 한 잔 (Feat. 하림),"먼데이 키즈 (Monday Kiz), 지아",1,,,,,,,,,,
145,가을 타나 봐,바이브,1,,,,,,,,,,
146,열애중,벤,1,,,,,,,,,,
147,이별길 (GOODBYE ROAD),iKON,1,,,,,,,,,,
148,나,박원,1,,,,,,,,,,
149,노래방,임창정,1,,,,,,,,,,
150,이별하러 가는 길,임한별,1,,,,,,,,,,
151,도망가지마,모트 (Motte),1,,,,,,,,,,
152,종이비행기 (Hello) (Feat. pH-1),윤하 (YOUNHA),1,,,,,,,,,,
153,우리 그만하자,로이킴,1,,,,,,,,,,
154,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,1,,,,,,,,,,
