,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
90,충분해(Enough) (Prod.APRO),"Colde (콜드), 정유미, APRO (아프로)",,,,,,,1,,,,
91,공항로 (Prod. 검정치마),웬디 (WENDY),,,,,,,1,,,,
92,Off The Grid (feat. Khalid),Alina Baraz,,,,,,,1,,,,
93,Fall for You,"Sarah Kang, Jesse Barrera",,,,,,,1,,,,
94,애.정.너 (Indecisive Me),종한 (JONGHAN),,,,,,,1,,,,
95,가사 (Feat. THAMA),지젤 (Jiselle),,,,,,,1,,,,
96,Fly,"강다니엘, 챈슬러",,,,,,,1,,,,
97,꿈,적재,,,,,,,1,,,,
98,서로의 서로,적재,,,,,,,1,,,,
99,Moonlight,로꼬,,,,,,,1,,,,
100,Can't get over you,SWAY (스웨이),,,,,,,1,,,,
101,Truly,윤하 (YOUNHA),,,,,,,1,,,,
102,6년 230일,윤하 (YOUNHA),,,,,,,1,,,,
103,아카시아,공기남,,,,,,,1,,,,
104,계절,공기남,,,,,,,1,,,,
105,밤공기 (With. g1nger),Jflow,,,,,,,1,,,,
106,"Happy Ending (Feat. nobody likes you pat, Ashley Alisha)",뎁트,,,,,,,1,,,,
107,Marigold,리슨 (LYSON),,,,,,,1,,,,
108,너의 바다는,YUSU (유수),,,,,,,1,,,,
109,Manchild,homezone,,,,,,,1,,,,
110,멈춰있을게 (Picture),homezone,,,,,,,1,,,,
111,Night Train,Milena (밀레나),,,,,,,1,,,,
112,Round And Round,김뮤지엄 (KIMMUSEUM),,,,,,,1,,,,
113,Love On You,라붐 (LABOUM),,,,,,,1,,,,
114,제자리,존박,,,,,,,1,,,,
115,밤하늘 달려,유지희 (Yujihi),,,,,,,1,,,,
116,Tell Me,태호 (TAE HO),,,,,,,1,,,,
117,"Take It Slow (Song By sweetmango, 미래) (Prod. RYUKIE)",KozyPop,,,,,,,1,,,,
118,"Lisianthus (Song By NISSI, Chaanill) (Prod. 플라스틱 케이스)",KozyPop,,,,,,,1,,,,
119,그리워하는 것까지,세븐틴,,,,,,,1,,,,
120,Journey,쟈드 (Jade),,,,,,,1,,,,
121,같은 시선 (Focus),NCT 127,,,,,,,1,,,,
122,내일의 나에게 (The Rainy Night),NCT 127,,,,,,,1,,,,
123,아침,마인드유,,,,,,,1,,,,
124,걸어가,THAMA,,,,,,,1,,,,
125,København (Feat. KimOki),THAMA,,,,,,,1,,,,
126,Hello (Feat. 이민혁 (HUTA)),CherryB (체리비),,,,,,,1,,,,
127,Real Thing (Feat. Dynamicduo),THAMA,,,,,,,1,,,,
128,Here Always (승민 of Stray Kids),Stray Kids (스트레이 키즈),,,,,,,1,,,,
129,Walking In The Rain (Feat. 윤하),챈슬러,,,,,,,1,,,,
130,차마 하지 못할 말,D.no (디노),,,,,,,1,,,,
131,반의 반,"문별 (마마무), 가호 (Gaho)",,,,,,,1,,,,
132,Blessed (Feat. GSoul),THAMA,,,,,,,1,,,,
133,Do It For Love (Feat. 죠지),THAMA,,,,,,,1,,,,
134,Fake Flower,Bas Bao (바스바오),,,,,,,1,,,,
135,당신이 그대가,홍재목,,,,,,,1,,,,
136,초대하지 않은 손님,안희수,,,,,,,1,,,,
137,빈집 (Zip.),엔플라잉 (N.Flying),,,,,,,1,,,,
138,"쉼표 (Comma,)",엔플라잉 (N.Flying),,,,,,,1,,,,
